month,area_no,area_yes,area_maybe,percent_no,percent_yes,percent_maybe,continent,
October,14659102773,2968441312,1443709163,0.66,0.23,0.11,north_america,
November,12678612147,2135103666,4257537435,0.56,0.14,0.3,north_america,
December,10766237877,2352717118,5952298254,0.47,0.12,0.41,north_america,
January,10593655960,1354444070,7123153218,0.46,0.07,0.47,north_america,
February,11571499813,931856256,6567897179,0.51,0.05,0.44,north_america,
March,13188196971,456870679.6,5426185598,0.58,0.02,0.38,north_america,
April,14643251310,339306803.1,4088695135,0.67,0.02,0.31,north_america,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
